,Bond Nav (Net),Cash for Coupon Payment,Cash for New Issuance,Bond Nav,Bond PnL,Bond Return,Bond Return Cumulative,Hedge Nav,Hedge PnL,Hedge Return,Total Return Daily,Total Return Cumulative,Difference in Return,Same Direction
2019-09-25,19683783.05555556,202625.00000000,13966640.00000000,33853048.05555555,-63226.94444445,-0.00186421,-0.00839487,25037440.07555344,-434205.54926528,-0.00802798,-0.01440393,0.05306580,-0.06146067,1
2019-09-26,19708586.11111111,243875.00000000,13966640.00000000,33919101.11111110,66053.05555555,0.00195117,-0.00646008,25241441.43494983,204001.35939640,0.00384275,0.00793413,0.06142096,-0.06788103,1
2019-09-27,19735808.33333334,243875.00000000,13966640.00000000,33946323.33333334,27222.22222223,0.00080256,-0.00566270,25453806.47998489,212365.04503506,0.00414811,0.00426707,0.06595012,-0.07161282,1
2019-09-30,19696411.11111111,291375.00000000,13966640.00000000,33954426.11111111,8102.77777778,0.00023869,-0.00542536,25439020.21283924,-14786.26714565,-0.00039790,-0.00019399,0.06574334,-0.07116869,0
2019-10-01,19737823.33333334,291375.00000000,13966640.00000000,33995838.33333334,41412.22222222,0.00121964,-0.00421233,25579957.07149543,140936.85865619,0.00268949,0.00529364,0.07138500,-0.07559733,1
2019-10-02,19681785.55555556,291375.00000000,13966640.00000000,33939800.55555555,-56037.77777778,-0.00164837,-0.00585376,25778494.40628148,198537.33478605,0.00386170,0.00411501,0.07579376,-0.08164752,0
2019-10-03,19716807.77777778,291375.00000000,13966640.00000000,33974822.77777778,35022.22222222,0.00103189,-0.00482791,26025437.81949564,246943.41321416,0.00451959,0.00810906,0.08451744,-0.08934534,1
2019-10-04,19730830.00000000,291375.00000000,13966640.00000000,33988845.00000000,14022.22222222,0.00041272,-0.00441718,26099101.73756797,73663.91807233,0.00109716,0.00250148,0.08723034,-0.09164752,1
2019-10-07,19724236.66666666,291375.00000000,13966640.00000000,33982251.66666666,-6593.33333334,-0.00019399,-0.00461030,25900217.48823129,-198884.24933668,-0.00352176,-0.00584718,0.08087311,-0.08548342,1
2019-10-08,19751818.88888888,291375.00000000,13966640.00000000,34009833.88888888,27582.22222222,0.00081167,-0.00380238,26067788.21262643,167570.72439514,0.00321565,0.00558604,0.08691091,-0.09071329,1
