Dates,Spreads,Prices
2019/11/25,39.732,102.9243698
2019/11/26,39.5,102.9340622
2019/11/27,38.707,102.9736952
2019/11/28,38.843,102.9623394
2019/11/29,38.556,102.975046
2019/12/2,38.418,102.9767606
2019/12/3,39.92,102.8998615
2019/12/4,39.713,102.9154519
2019/12/5,39.059,102.9429623
2019/12/6,38.413,102.9715411
2019/12/9,38.429,102.963265
2019/12/10,38.154,102.9754454
2019/12/11,37.973,102.9814883
2019/12/12,36.989,103.0313409
2019/12/13,34.866,103.1284558
2019/12/16,34.699,103.1360421
2019/12/17,33.863,103.1718391
2019/12/18,32.705,103.2271335
2019/12/19,32.125,103.2526595
2019/12/20,31.49,103.2826405
2019/12/23,31.119,103.29475
2019/12/24,31.223,103.286468
2019/12/25,31.334,103.2821228
2019/12/26,31.296,103.2822654
2019/12/27,31.202,103.28463
2019/12/30,31.213,103.2805592
2019/12/31,31.205,103.2790453
2020/1/1,31.206,103.2757289
2020/1/2,30.742,103.2967283
2020/1/3,33.129,103.1807471
2020/1/6,34.176,103.1294495
2020/1/7,32.544,103.2082174
2020/1/8,32.5,103.2081202
2020/1/9,31.203,103.2677392
2020/1/10,31.916,103.2309685
2020/1/13,31.083,103.2674715
2020/1/14,30.941,103.2715699
2020/1/15,30.919,103.2721202
2020/1/16,29.817,103.3255024
2020/1/17,29.651,103.330553
2020/1/20,29.695,103.3219
2020/1/21,32.56,103.181142
2020/1/22,33.551,103.1354258
2020/1/23,35.662,103.0319883
2020/1/24,36.915,102.9716326
2020/1/27,36.391,102.9943321
2020/1/28,40.626,102.7942092
2020/1/29,39.278,102.8555922
2020/1/30,41.758,102.7377264
2020/1/31,42.003,102.7254795
2020/2/3,40.224,102.8115135
2020/2/4,36.556,102.9852257
2020/2/5,32.839,103.1583356
2020/2/6,33.946,103.1000907
2020/2/7,35.487,103.0239763
2020/2/10,36.403,102.9787974
2020/2/11,35.205,103.0371078
2020/2/12,33.187,103.131338
2020/2/13,33.842,103.0950816
2020/2/14,33.899,103.0914824
2020/2/17,33.825,103.0911361
2020/2/18,35.007,103.0328479
2020/2/19,34.377,103.0637755
2020/2/20,34.461,103.0570601
2020/2/21,35.54,103.0065528
2020/2/24,39.249,102.8280739
2020/2/25,38.341,102.8776343
2020/2/26,40.187,102.7902994
2020/2/27,42.944,102.6575877
2020/2/28,51.213,102.2673621
2020/3/2,48.27,102.4139589
2020/3/3,43.697,102.6282756
2020/3/4,44.974,102.5761796
2020/3/5,45.447,102.5553872
2020/3/6,52.336,102.2283203
2020/3/9,78.85,100.9774842
2020/3/10,58.907,101.918249
2020/3/11,72.36,101.2801601
2020/3/12,87.947,100.5551237
2020/3/13,73.863,101.210237
2020/3/16,75.905,101.1114737
2020/3/17,74.502,101.1794164
2020/3/18,68.706,101.4447593
2020/3/19,69.043,101.4262221
2020/3/20,70.304,101.5054916
2020/3/23,74.979,101.2686373
2020/3/24,64.279,101.8203626
2020/3/25,48.165,102.6530898
2020/3/26,43.231,102.9119108
2020/3/27,49.606,102.5781384
2020/3/30,59.094,102.0830728
2020/3/31,51.637,102.4692904
2020/4/1,58.467,102.1128335
2020/4/2,58.946,102.0872186
2020/4/3,61.542,101.9521687
2020/4/6,55.978,102.2364731
2020/4/7,51.325,102.4743356
2020/4/8,51.866,102.443261
2020/4/9,43.246,102.8910334
2020/4/10,43.08,102.9011838
2020/4/13,42.674,102.9178317
2020/4/14,40.168,103.0454835
2020/4/15,42.406,102.9295764
2020/4/16,44.339,102.8313204
2020/4/17,43.998,102.8475838
2020/4/20,46.278,102.7238487
2020/4/21,50.187,102.520522
2020/4/22,49.91,102.5353025
2020/4/23,49.788,102.539706
2020/4/24,50.381,102.5088761
2020/4/27,48.903,102.5816813
2020/4/28,47.886,102.6311204
2020/4/29,45.863,102.7380084
2020/4/30,45.171,102.7736293
2020/5/1,47.985,102.6266343
2020/5/4,52.693,102.380319
2020/5/5,49.826,102.5272982
2020/5/6,51.639,102.4328899
2020/5/7,51.003,102.4653988
2020/5/8,49.004,102.57079
2020/5/11,49.011,102.5657211
2020/5/12,49.947,102.515409
2020/5/13,52.572,102.3802044
2020/5/14,54.182,102.2967959
2020/5/15,53.369,102.337457
2020/5/18,51.398,102.4343625
2020/5/19,49.202,102.5425541
2020/5/20,47.266,102.6419445
2020/5/21,47.313,102.6384623
2020/5/22,52.709,102.3617407
2020/5/25,51.765,102.4059034
2020/5/26,50.646,102.4615958
2020/5/27,50.777,102.4536376
2020/5/28,51.459,102.4171606
2020/5/29,56.928,102.1389038
2020/6/1,53.487,102.3105919
2020/6/2,52.094,102.3801527
2020/6/3,48.307,102.5707076
2020/6/4,48.057,102.5800744
2020/6/5,47.852,102.5879617
2020/6/8,43.837,102.7843839
2020/6/9,47.742,102.5854633
2020/6/10,47.437,102.601616
2020/6/11,52.386,102.353346
2020/6/12,51.328,102.4057888
2020/6/15,53.979,102.2683816
2020/6/16,48.308,102.552541
2020/6/17,48.485,102.5420407
2020/6/18,49.726,102.4788122
2020/6/19,49.268,102.5008802
2020/6/22,48.747,102.5232044
2020/6/23,47.86,102.5661977
2020/6/24,50.853,102.4148477
2020/6/25,50.918,102.4106023
2020/6/26,51.102,102.399967
2020/6/29,51.631,102.3709658
2020/6/30,50.118,102.446232
2020/7/1,48.188,102.5413743
2020/7/2,46.547,102.6216526
2020/7/3,45.491,102.6737505
2020/7/6,44.839,102.7022037
2020/7/7,45.211,102.6818285
2020/7/8,45.431,102.6704399
2020/7/9,45.849,102.6478462
2020/7/10,45.894,102.6447726
2020/7/13,45.132,102.6775125
2020/7/14,45.169,102.6745891
2020/7/15,43.972,102.7325398
2020/7/16,44.625,102.6986431
2020/7/17,44.189,102.7191751
2020/7/20,43.806,102.7338887
2020/7/21,42.235,102.8106453
2020/7/22,42.486,102.7971053
2020/7/23,42.261,102.8068157
2020/7/24,44.476,102.6954124
2020/7/27,44.215,102.7039613
2020/7/28,43.994,102.7127489
2020/7/29,43.748,102.7242887
2020/7/30,43.904,102.7158226
2020/7/31,43.127,102.7540157
2020/8/3,42.349,102.7885966
2020/8/4,41.874,102.8104048
2020/8/5,40.664,102.8694312
2020/8/6,40.893,102.8552514
2020/8/7,41.362,102.8305485
